gic2,cik,GVKEY,permno,Industry,CompName,esg_report,year,filename,sentence,Label
15,51434,6104,21573,Materials,INTL PAPER CO,1,2018,INTL PAPER CO_2018.txt,RECYCLING Increase OCC recovery by 15%.,PW
15,51434,6104,21573,Materials,INTL PAPER CO,1,2019,INTL PAPER CO_2019.txt,"We create packaging products that protect and promote goods, enable worldwide commerce and keep consumers safe.",PL
15,51434,6104,21573,Materials,INTL PAPER CO,1,2019,INTL PAPER CO_2019.txt,We also continuously work to reduce greenhouse gas emissions during manufacturing and increasing the recovery and recycling of our paper-based products.,CC
15,51434,6104,21573,Materials,INTL PAPER CO,1,2019,INTL PAPER CO_2019.txt,It prohibits operators in Europe from placing illegally harvested timber and products derived from timber on the EU market.,NC
15,51434,6104,21573,Materials,INTL PAPER CO,0,2009,edgar/data/51434/0001193125-09-076501.txt,"Mr. Walter is a member of the board of directors of the American Chemistry Council, the National Association of Manufacturers, and New York Life Insurance Company.",CG
15,9389,1988,57568,Materials,BALL CORP,1,2007,BALL CORP_2007.txt,"Build on Strengths We intend to build on our heritage of ethics, integrity, quality and value in all our dealings by treating all stakeholders the way we would like to be treated.",BE
15,9389,1988,57568,Materials,BALL CORP,1,2010,BALL CORP_2010.txt,"For example, a certain waste might be recycled in one region, but has to be landfilled in another region.",PW
15,9389,1988,57568,Materials,BALL CORP,1,2014,BALL CORP_2014.txt,"During the reporting period, we started benchmarking our global operations at the equipment level to identify and share projects with the greatest impact on reducing water usage.",NC
15,9389,1988,57568,Materials,BALL CORP,1,2016,BALL CORP_2016.txt,"Donated more than $4 million to charitable organizations in Ball communities through The Ball Foundation, employee donations and the corporate match.",CR
15,9389,1988,57568,Materials,BALL CORP,1,2018,BALL CORP_2018.txt,"The fires, which were exacerbated by large amounts of dry vegetation due to an unusually dry rainy season, burned more than 1,200 square kilometers and caused hazardous air conditions and power outages.",CC
15,9389,1988,57568,Materials,BALL CORP,1,2020,BALL CORP_2020.txt,"They are challenged by shifting commodity economics, concerns about material quality and higher operational costs related to several market changes, among other aspects.",PL
15,9389,1988,57568,Materials,BALL CORP,1,2020,BALL CORP_2020.txt,There is no point in putting a lot of effort into collection and sorting if we then lose up to 20 to 30% of the material during the recycling process.,PW
15,9389,1988,57568,Materials,BALL CORP,0,2019,edgar/data/9389/0001047469-19-001127.txt,The Corporation and the Committee may make prospective changes to compensation to NEOs and related policies to comply with this legislation and maximize the potential deductibility of such compensation by the Corporation.,CG
15,1324404,163946,90829,Materials,CF INDUSTRIES HOLDINGS INC,1,2012,CF INDUSTRIES HOLDINGS INC_2012.txt,"We also are regular supporters of local fire, rescue and ambulance services, as well as United Way and numerous civic and educational organizations.",CR
15,1324404,163946,90829,Materials,CF INDUSTRIES HOLDINGS INC,1,2016,CF INDUSTRIES HOLDINGS INC_2016.txt,"Many respondents also were unaware of ways to improve their practices, but described a desire to cultivate healthy soils and leave land in the best possible shape for future generations.",NC
15,1324404,163946,90829,Materials,CF INDUSTRIES HOLDINGS INC,0,2010,edgar/data/1324404/0001047469-10-003123.txt,"In addition, the audit committee retained KPMG, as well as other accounting firms, to provide other auditing and advisory services in 2009.",CG
15,1324404,163946,90829,Materials,CF INDUSTRIES HOLDINGS INC,0,2019,edgar/data/1324404/0001047469-19-001683.txt,The nominating and corporate governance committee reviews risks related to our governance structures and processes.,CG
15,74303,8123,13610,Materials,OLIN CORP,0,2009,edgar/data/74303/0001193125-09-043852.txt,All of our directors attended the 2008 annual shareholders meeting.,CG
20,18230,2817,18542,Industrials,CATERPILLAR INC,1,2019,CATERPILLAR INC_2019.txt,Energy management is an important component of EHS management.,CC
20,18230,2817,18542,Industrials,CATERPILLAR INC,0,2006,edgar/data/18230/0000018230-06-000212.txt,"All executive officers of the company are eligible for participation in the plan, although it is anticipated that participation will be limited to the CEO and the company's Group Presidents.",CG
20,92380,9882,58683,Industrials,SOUTHWEST AIRLINES,1,2011,SOUTHWEST AIRLINES_2011.txt,We teamed with the Student Conservation Association on 40 conservation projects in 25 communities .,CR
20,92380,9882,58683,Industrials,SOUTHWEST AIRLINES,1,2012,SOUTHWEST AIRLINES_2012.txt,"There are many benefits to adding the -800 to our fleet: over 20 percent more seating capacity compared to the -700 ; enhanced onboard comfort; more economical longhaul flying with lower overall unit costs; better scheduling flexibility in high-demand , slot-controlled , and gaterestricted markets; and its superior economics make near-international destinations more attractive to Southwest.",PL
20,92380,9882,58683,Industrials,SOUTHWEST AIRLINES,1,2013,SOUTHWEST AIRLINES_2013.txt,The addition of winglets to eligible models in our fleet has also resulted in quieter aircraft operations and less noise for surrounding communities.,PL
20,92380,9882,58683,Industrials,SOUTHWEST AIRLINES,1,2015,SOUTHWEST AIRLINES_2015.txt,We promote vigorous competition that benefits Customers by providing low airfares and a variety of high-quality air service offerings to destinations across the United States and to international markets.,PL
20,85961,9299,27633,Industrials,RYDER SYSTEM INC,0,2010,edgar/data/85961/0000950123-10-029209.txt,"The Principles of Business Conduct apply to our officers, employees and Board members and cover all areas of professional conduct including conflicts of interest, confidentiality, compliance with law and mechanisms to report known or suspected wrongdoing.",BE
20,85961,9299,27633,Industrials,RYDER SYSTEM INC,0,2010,edgar/data/85961/0000950123-10-029209.txt,Our independent directors acting as a group are responsible for evaluating CEO performance and setting CEO compensation.,CG
20,85961,9299,27633,Industrials,RYDER SYSTEM INC,0,2007,edgar/data/85961/0000950144-07-002609.txt,"The Approval Policy also sets forth detailed pre-approved categories of other audit, audit-related, tax and other non-audit services that may be performed by our independent auditor during the fiscal year, subject to the dollar limitations set by the Audit Committee.",CG
20,78814,8606,24459,Industrials,PITNEY BOWES INC,1,2009,PITNEY BOWES INC_2009.txt,"Additionally, employees are given the opportunity to voice their opinions on the ethics demonstrated by their managers and senior management in our annual employee engagement survey.",BE
20,78814,8606,24459,Industrials,PITNEY BOWES INC,1,2010,PITNEY BOWES INC_2010.txt,Health improvement programs manager Elysa Jacobs is shown holding a Platinum Award from the Business Council of Fairfield County (CT) under the Council’s Healthy Workplace Employer Recognition Program.,HC
20,78814,8606,24459,Industrials,PITNEY BOWES INC,1,2013,PITNEY BOWES INC_2013.txt,"The purpose of the contest was to broaden access to community services through “Commerce and payments for all.” Drawing on Pitney Bowes location intelligence technology, Karlsson’s app enables citizens with disabilities to plan their daily life by researching the accessibility of shops, restaurants and other public facilities on their mobile phones.",CR
20,78814,8606,24459,Industrials,PITNEY BOWES INC,1,2014,PITNEY BOWES INC_2014.txt,Our score of 89 in the annual Carbon Disclosure Project survey (up from 70 in 2013) demonstrates that our efforts on behalf of the environment are having an increasingly positive impact.,CC
20,78814,8606,24459,Industrials,PITNEY BOWES INC,1,2016,PITNEY BOWES INC_2016.txt,"We also adhere to applicable law and regulations regarding client, partner and employee personal information moving across geographical and jurisdictional borders including certification under the EU-US Privacy Shield program.",PL
20,78814,8606,24459,Industrials,PITNEY BOWES INC,1,2020,PITNEY BOWES INC_2020.txt,The Points of Light Foundation is an international nonprofit dedicated to creating a global culture of volunteering.,CR
25,37996,4839,25785,Consumer Discretionary,FORD MOTOR CO,1,2016,FORD MOTOR CO_2015-2016.txt,Our science-based climate change strategy is based on doing our part to stabilize the atmospheric concentration of carbon dioxide (CO2) at 450 parts per million (ppm).,CC
25,37996,4839,25785,Consumer Discretionary,FORD MOTOR CO,1,2018,FORD MOTOR CO_2017-2018.txt,"We continue to expand our training efforts and capacity building to equip suppliers with the knowledge, skills and processes to ensure employees’ rights are protected.",HC
25,37996,4839,25785,Consumer Discretionary,FORD MOTOR CO,1,2022a,FORD MOTOR CO_2022a.txt,"In terms of raw material sourcing, we identify and prioritize human rights risks based on the governance in place in raw material countries of origin and the vulnerability to child or forced labor through raw material extraction, harvesting, or processing.",HC
25,320187,7906,57665,Consumer Discretionary,NIKE INC,1,2001,NIKE INC_2001.txt,"Girls Camps are a joint project between Nike and NFL Charities, hosted by college campuses.",CR
25,320187,7906,57665,Consumer Discretionary,NIKE INC,1,2020,NIKE INC_2020.txt,"We’re leveraging our global scale to accelerate business diversity, including investing in business training programs for women and supplier opportunities for minority-owned businesses.",HC
25,320187,7906,57665,Consumer Discretionary,NIKE INC,1,2020,NIKE INC_2020.txt,Those assessments are often duplicative and take time and resources away from improving working conditions.,HC
25,320187,7906,57665,Consumer Discretionary,NIKE INC,1,2020,NIKE INC_2020.txt,This encouraged more vendors to include wastewater recycling as part of their strategic plans without prompting.,PW
25,98246,13646,75100,Consumer Discretionary,TIFFANY & CO,1,2016,TIFFANY CO_2016.txt,We support equal opportunities for employment and the elimination of discrimination in all forms.,HC
25,98246,13646,75100,Consumer Discretionary,TIFFANY & CO,1,2017,TIFFANY CO_2017.txt,This policy prohibits payment of bribes and the acceptance of inappropriate payments or gifts.,BE
30,104169,11259,55976,Consumer Staples,WALMART INC,1,2011,WALMART INC_2011.txt,"It is estimated that the Balzac Fresh Food Distribution Centre will boost energy efficiency by 60 percent over the company's traditional refrigerated centers, while cutting costs by $4.",CC
30,104169,11259,55976,Consumer Staples,WALMART INC,1,2011,WALMART INC_2011.txt,A significant percentage of that total was generated through customer donations to the Donate Your Change fundraising program.,CR
30,104169,11259,55976,Consumer Staples,WALMART INC,1,2012,WALMART INC_2012.txt,"Add kitty litter, sawdust, coffee grounds (or any material that mixes with the medication and makes it less appealing for pets and children to eat) to the plastic bag.",PL
30,104169,11259,55976,Consumer Staples,WALMART INC,1,2014,WALMART INC_2014.txt,"Through our work with Bureau Veritas, our goal is that each and every worker in factories producing merchandise directly for our suppliers in Bangladesh be trained on fire safety procedures .",HC
30,104169,11259,55976,Consumer Staples,WALMART INC,1,2014,WALMART INC_2014.txt,"Since 2011, Walmart Japan has provided grants and store fundraising to Florence, a nonprofit organization that supports working mothers by offering sick-child care services.",CR
30,104169,11259,55976,Consumer Staples,WALMART INC,1,2014,WALMART INC_2014.txt,We will raise the income of the small and medium-sized farmers we source from by 10 to 15 percent in emerging markets by the end of 2015.,HC
30,104169,11259,55976,Consumer Staples,WALMART INC,1,2019,WALMART INC_2019.txt,"For example, the Walmart Foundation provided funding to the World Resources Institute to implement and accelerate adoption of its Food Loss and Waste Protocol, a publicly available approach to measure food waste and loss.",CR
30,104169,11259,55976,Consumer Staples,WALMART INC,1,2019,WALMART INC_2019.txt,"One example of progress: In FY2019, more than 800 Walmart private label suppliers signed up for the How2Recycle® label (compared with only 100 in FY2018), and more than 16,000 Stock Keeping Units (SKUs) received the How2Recycle label.",PW
30,104169,11259,55976,Consumer Staples,WALMART INC,1,2020,WALMART INC_2020.txt,"In 2018, Walmart joined the Prescription Drug Safety Network, powered by education technology company EVERFI, to bring a powerful prevention education tool to teens in high schools across Arkansas, Colorado, Texas, Indiana, Illinois, and beginning in 2019, Oklahoma .",CR
30,40704,5071,17144,Consumer Staples,GENERAL MILLS INC,1,2010,GENERAL MILLS INC_2010.txt,"We did the same thing with many of our Progresso Light soups, and we’ve reduced the fat levels by 10 percent or more in four different Grands!",PL
30,40704,5071,17144,Consumer Staples,GENERAL MILLS INC,1,2010,GENERAL MILLS INC_2010.txt,"Employees are encouraged to seek help when trying to determine the right course of action, either through their manager or via the Ethics Line, which provides for anonymous reporting.",BE
30,40704,5071,17144,Consumer Staples,GENERAL MILLS INC,1,2011,GENERAL MILLS INC_2011.txt,"The money is being used to improve agricultural practices along the Root River, an ecologically sensitive watershed in southeastern Minnesota.",NC
30,40704,5071,17144,Consumer Staples,GENERAL MILLS INC,1,2013,GENERAL MILLS INC_2013.txt,"In the summer of 2012, General Mills announced its intention to cut 850 jobs worldwide, amounting to 2.4% of the global workforce.",HC
30,40704,5071,17144,Consumer Staples,GENERAL MILLS INC,1,2015,GENERAL MILLS INC_2015.txt,Health & Wellness Sourcing Environment Workplace Community eating and physical activity in young children through programs at early childhood centers.,CR
30,40704,5071,17144,Consumer Staples,GENERAL MILLS INC,1,2015,GENERAL MILLS INC_2015.txt,"Together, we provide nourishment to Americans struggling with hunger; safe and nurturing places for children to have a meal; and emergency assistance for disaster victims.",CR
30,40704,5071,17144,Consumer Staples,GENERAL MILLS INC,1,2016,GENERAL MILLS INC_2016.txt,Responsibility: Overall responsibility for employee health and wellness programs lies with the Vice President of Global Health Services and Chief Wellness Officer.,HC
30,40704,5071,17144,Consumer Staples,GENERAL MILLS INC,1,2018,GENERAL MILLS INC_2018.txt,"In fiscal 2017, 80 percent of U.S. retail sales volume met our Health Metric nutritional criteria.",PL
30,40704,5071,17144,Consumer Staples,GENERAL MILLS INC,1,2022,GENERAL MILLS INC_2022.txt,"During the COVID-19 pandemic, we have encouraged our employees to support their communities in modified ways that keep everyone safe and healthy, such as the food donation event we hosted at our headquarters, which enabled employees and their families to drive-up and donate foods and household items for area charities.",CR
30,96021,10247,52038,Consumer Staples,SYSCO CORP,1,2018,SYSCO CORP_2018.txt,"This included avoidance of nearly 18,000 pounds of pesticides by utilizing practices that disrupt pheromone mating of nonbene-cial organisms; more than 143,000 pounds avoided through the release of beneficial organisms; and more than 9,000 pounds avoided through trapping.",PL
30,96021,10247,52038,Consumer Staples,SYSCO CORP,1,2019,SYSCO CORP_2019.txt,"We believe that a strong and consistent organics program with an appealing variety of products that are reasonably priced, can drive increased adoption across our customer base.",PL
30,96021,10247,52038,Consumer Staples,SYSCO CORP,1,2021,SYSCO CORP_2021.txt,"Sourcing 100% of our top 15 (by volume) wild-caught Sysco Portico Brand seafood species groups from fisheries that are certified by the Marine Stewardship Council (MSC), in MSC full assessment or in a comprehensive fishery improvement project (FIP), and source at least 85% of this top 15 volume from fisheries that are MSC certified.",PL
30,96021,10247,52038,Consumer Staples,SYSCO CORP,0,2012,edgar/data/96021/0001308179-12-000182.txt,"In addition, the Compensation Committee assessed Sysco’s performance in select non-financial areas, including the overall effectiveness of its management development and succession planning processes in determining the magnitude of the 2012 bonus payment to our CEO.",CG
30,1001250,61567,82642,Consumer Staples,LAUDER (ESTEE) COS INC,1,2012,LAUDER (ESTEE) COS INC_2012.txt,Four of our AVEDA facilities in the U.S. received awards from the National Safety Council for their low rates in injury and illnesses involving days away from work.,HC
30,1001250,61567,82642,Consumer Staples,LAUDER (ESTEE) COS INC,1,2014,LAUDER (ESTEE) COS INC_2014.txt,"In 2014, we were proud to be named to the Climate Disclosure Leadership Index.",CC
30,1001250,61567,82642,Consumer Staples,LAUDER (ESTEE) COS INC,1,2017,LAUDER (ESTEE) COS INC_2017.txt,"The program also offers periodic health clinics for village children and has started other social programs, such as youth and women’s groups.",CR
30,1001250,61567,82642,Consumer Staples,LAUDER (ESTEE) COS INC,1,2018,LAUDER (ESTEE) COS INC_2018.txt,"In FY18, the volunteerism platform also became available to United Kingdom (U.K.) corporate full-time, part-time and fixed-term contract employees only.",CR
30,1001250,61567,82642,Consumer Staples,LAUDER (ESTEE) COS INC,1,2020,LAUDER (ESTEE) COS INC_2020.txt,We are committed to increased transparency about the ingredients in our products and we strive to formulate our products with safe ingredients that create the best results.,PL
30,21076,3121,46578,Consumer Staples,CLOROX CO,0,2007,edgar/data/21076/0000950134-07-020937.txt,"By mitigating the economic hardship associated with unexpected termination, these benefits aid in attracting and retaining named executive officers and encouraging management to take reasonable amounts of risk.",CG
35,78003,8530,21936,Health Care,PFIZER INC,1,2007,PFIZER INC_2007.txt,Joined a new coalition created by The Brookings Institution to increase the number of US volunteers involved in international service.,CR
35,78003,8530,21936,Health Care,PFIZER INC,1,2009,PFIZER INC_2009.txt,"We are also driving more partnerships at local levels so that we have strong relationships with the communities where we live and work, and ensure we remain connected to the needs and constraints of our customers.",CR
35,97745,10530,62092,Health Care,THERMO FISHER SCIENTIFIC INC,1,2013,THERMO FISHER SCIENTIFIC INC_2013.txt,Between 98 and 99% of employees receive reviews annually.,HC
35,97745,10530,62092,Health Care,THERMO FISHER SCIENTIFIC INC,1,2019,THERMO FISHER SCIENTIFIC INC_2019.txt,Encouraging and inspiring students in the primary and secondary grade levels to engage in STEM activities is a core component of our community engagement strategy.,CR
35,97745,10530,62092,Health Care,THERMO FISHER SCIENTIFIC INC,1,2019,THERMO FISHER SCIENTIFIC INC_2019.txt,"Over the course of 2019, our site in Scoresby, Australia, updated all 1,642 lights in their facility, including office, parking, and warehouse lighting, to energy efficient LED light fittings.",CC
35,97745,10530,62092,Health Care,THERMO FISHER SCIENTIFIC INC,1,2021,THERMO FISHER SCIENTIFIC INC_2021.txt,"Through our Foundation for Science, we also provided $10 million in philanthropic and in-kind product support.",CR
35,97745,10530,62092,Health Care,THERMO FISHER SCIENTIFIC INC,0,2003,edgar/data/97745/0000097745-03-000045.txt,"The Nominating and Corporate Governance Committee, among other things, reviews the credentials of proposed nominees for directors, recommends to the Board of Directors nominees to fill vacancies or nominees for election at the Annual Meeting of Stockholders, and reviews Board of Director and committee organization and structure.",CG
35,49071,27914,48653,Health Care,HUMANA INC,1,2020,HUMANA INC_2020.txt,"In April, the company repurchased 52,462 shares at a cost of SEK 2 million, which is equivalent to an average price of SEK 39.12 per share.",CG
35,49071,27914,48653,Health Care,HUMANA INC,1,2021,HUMANA INC_2021.txt,There is a risk of operational restrictions in the case of IT and system failures.,PL
35,1090872,126554,87432,Health Care,AGILENT TECHNOLOGIES INC,1,2001,AGILENT TECHNOLOGIES INC_2001.txt,Officials from the Ministry of Manpower also carried out site visits to ascertain the standard of safety in the workplace.,HC
35,1090872,126554,87432,Health Care,AGILENT TECHNOLOGIES INC,1,2001,AGILENT TECHNOLOGIES INC_2001.txt,"Supported by Agilent philanthropy funds of US$63,000 awarded in 2000, the launch of a mobile Mother and Child Healthcare project, in January 2001, provided timely intervention to some of these problems.",CR
35,1090872,126554,87432,Health Care,AGILENT TECHNOLOGIES INC,1,2002,AGILENT TECHNOLOGIES INC_2002.txt,Agilent's occupational health and safety (OHS) policy is to create the health and safety practices and work environments that enable our people to work injury and illness-free.,HC
35,1090872,126554,87432,Health Care,AGILENT TECHNOLOGIES INC,1,2012,AGILENT TECHNOLOGIES INC_2012.txt,"Agilent’s Business management System (BmS) is designed to support our three business groups, Electronic measurement group (Emg), Chemical Analysis group (CAg), and Life Sciences group (LSg), so that Agilent products, services, and interactions consistently and effectively meet customer expectations and applicable regulatory requirements, and provide a mechanism for continual improvement.",PL
35,1090872,126554,87432,Health Care,AGILENT TECHNOLOGIES INC,1,2017,AGILENT TECHNOLOGIES INC_2017.txt,"In 2017, Agilent provided no financial or in-kind contributions to any political party or political candidate.",BE
35,1090872,126554,87432,Health Care,AGILENT TECHNOLOGIES INC,1,2020,AGILENT TECHNOLOGIES INC_2020.txt,We've received substantial positive feedback from our employees regarding Agilent's investment in renewable energy.,CC
35,1090872,126554,87432,Health Care,AGILENT TECHNOLOGIES INC,0,2008,edgar/data/1090872/0001047469-08-000271.txt,"During the 2007 Agilent fiscal year, the Board held seven meetings.",CG
35,1000697,61574,82651,Health Care,WATERS CORP,1,2020,WATERS CORP_2020.txt,"Specifically, our compensation strategy aims to align per formance-based total compensation with our business strategy and establish and maintain pay levels based on evaluation of jobs , work per formance and compensation paid elsewhere in the marketplace.",HC
40,831001,3243,70519,Financials,CITIGROUP INC,1,2018,CITIGROUP INC_2018.txt,Citi employees are required to take privacy and information compliance training that covers these privacy concepts .,HC
40,831001,3243,70519,Financials,CITIGROUP INC,1,2018,CITIGROUP INC_2018.txt,Most employees are hired locally.,HC
40,831001,3243,70519,Financials,CITIGROUP INC,1,2019,CITIGROUP INC_2019.txt,"Applying our ESRM Policy helps us identify risks beyond traditional credit risks, guides how we evaluate transactions related to companies or projects within high-risk sectors and presents opportunities for us to advise clients on solutions to thematic risks.",PL
40,831001,3243,70519,Financials,CITIGROUP INC,1,2020,CITIGROUP INC_2020.txt,"We started with $150 million in January, adding on another $50 million in September to intentionally support businesses owned by Black entrepreneurs as part of our Action for Racial Equity plan.",CR
40,831001,3243,70519,Financials,CITIGROUP INC,1,2020,CITIGROUP INC_2020.txt,"Citi has a robust program that addresses the cybersecurity life cycle of preparedness and prevention , detection , response, mitigation , lessons learned and training .",PL
40,831001,3243,70519,Financials,CITIGROUP INC,0,2008,edgar/data/831001/0001193125-08-055394.txt,"On an interim basis, any proposed engagement that does not fit within the definition of a pre-approved service may be presented to the chair of the committee for approval and to the full committee at its next regular meeting.",CG
40,93751,10035,72726,Financials,STATE STREET CORP,1,2019,STATE STREET CORP_2019.txt,Our Information Security team integrates stringent information security risk management practices throughout each of our business lines.,PL
40,93751,10035,72726,Financials,STATE STREET CORP,1,2019,STATE STREET CORP_2019.txt,"We select grantees that can show measurable results within several key indicators outlined in our Impact Framework that link to economic impact, such as education, job readiness, college success, credentials, work experience and employment.",CR
40,93751,10035,72726,Financials,STATE STREET CORP,1,2020,STATE STREET CORP_2020.txt,"Our evaluation of the effectiveness of our management of talent recruitment and retention topics includes measuring our success through training results and employee engagement (e.g., employee network growth).",HC
40,93751,10035,72726,Financials,STATE STREET CORP,1,2021,STATE STREET CORP_2021.txt,"By consolidating and harmonizing our voting decisions and engagement efforts, we leverage the full power of our institutional discretionary holdings and exert greater influence with management and boards.",CG
40,49196,5786,42906,Financials,HUNTINGTON BANCSHARES,1,2017,HUNTINGTON BANCSHARES_2017.txt,We believe these are key moments for our leaders to engage our colleagues and for colleagues to grow professionally.,HC
40,49196,5786,42906,Financials,HUNTINGTON BANCSHARES,1,2017,HUNTINGTON BANCSHARES_2017.txt,Breaches of the Code may be reported by calling 866-596-0677.,BE
40,49196,5786,42906,Financials,HUNTINGTON BANCSHARES,1,2018,HUNTINGTON BANCSHARES_2018.txt,"Huntington also complies with Title V of the GrammLeach-Bliley Act, which requires financial institutions to notify customers of privacy policies and practices, and inform them of the conditions under which their personal information may be disclosed to nonaffiliated third par ties.",PL
40,49196,5786,42906,Financials,HUNTINGTON BANCSHARES,1,2019,HUNTINGTON BANCSHARES_2019.txt,"We support this effort with robust risk management to ensure our goal of enhanced speed and agility is achieved in a disciplined, sound, and safe manner.",HC
40,49196,5786,42906,Financials,HUNTINGTON BANCSHARES,1,2019,HUNTINGTON BANCSHARES_2019.txt,Huntington colleagues are passionate about empowering people with knowledge and skills to achieve financial security.,PL
40,49196,5786,42906,Financials,HUNTINGTON BANCSHARES,1,2019,HUNTINGTON BANCSHARES_2019.txt,"In 2018 , Huntington announced a $1.5 million investment in Vantage Ventures, a start-up accelerator based on the West Virginia University campus.",CR
40,49196,5786,42906,Financials,HUNTINGTON BANCSHARES,1,2019,HUNTINGTON BANCSHARES_2019.txt,This method represents a significant shift in thinking for hiring managers who have historically only interviewed a candidate when a position was open.,HC
